,energy,tempo,danceability,playlist_genre,loudness,liveness,valence,time_signature,speechiness,track_popularity,track_id,track_name,track_album_release_date,instrumentalness,mode,key,duration_ms,acousticness,playlist_subgenre
73,0.805,113.253,0.438,rock,-6.237,0.0842,0.564,4,0.0624,72,2aoo2jlRnM3A0NyLQqMN2f,All Along the Watchtower,1968-10-25,5.69e-05,1,8,240800,0.00255,classic
74,0.239,189.507,0.446,rock,-13.945,0.0697,0.298,4,0.0316,76,18AXbzPzBS8Y3AkgSxzJPb,In The Air Tonight - 2015 Remastered,1981-01-01,4.1e-06,1,0,336453,0.551,classic
75,0.521,123.118,0.721,rock,-8.123,0.127,0.942,4,0.0613,76,1i6N76fftMZhijOzFQ5ZtL,Psycho Killer - 2005 Remaster,1977-09-16,0.00545,1,2,261413,0.0708,classic
76,0.67,129.269,0.619,rock,-10.322,0.331,0.777,4,0.0353,71,45Ia1U4KtIjAPPU7Wv1Sea,Are You Gonna Go My Way,1993-03-09,0.0109,0,11,211933,0.00165,classic
77,0.828,105.25,0.539,rock,-9.108,0.154,0.562,4,0.035,70,54bm2e3tk8cliUz3VSdCPZ,Master of Puppets (Remastered),1986-03-03,0.421,0,4,515387,0.00067,classic
78,0.487,114.965,0.73,rock,-10.991,0.0852,0.731,4,0.0303,79,254bXAqt3zP6P50BdQvEsq,Everywhere - 2017 Remaster,1987-04-13,0.01,1,4,226653,0.258,classic
79,0.697,116.109,0.741,rock,-7.028,0.133,0.774,4,0.0277,84,2LawezPeJhN4AWuSB0GtAU,Have You Ever Seen The Rain,1970-12-07,2.28e-05,1,0,160133,0.0664,classic
80,0.579,127.215,0.62,rock,-9.307,0.0858,0.691,4,0.0473,69,4alHo6RGd0D3OUbTPExTHN,Just What I Needed,1978-06-06,6.4e-05,1,4,225627,0.0152,classic
81,0.912,116.761,0.502,rock,-4.556,0.106,0.72,4,0.0564,76,5ghIJDpPoe3CfHMGu71E6T,Smells Like Teen Spirit,1991-09-26,0.000173,1,1,301920,2.55e-05,classic
82,0.833,88.785,0.466,rock,-4.215,0.0327,0.661,4,0.304,78,59WN2psjkt1tyaxjspN8fp,Killing In The Name,1992-01-01,0.0,1,7,313573,0.0266,classic
83,0.376,164.775,0.53,rock,-11.913,0.0926,0.188,4,0.04,75,2EqlS6tkEnglzr7tkKAAYD,Come Together - Remastered 2009,1969-09-26,0.247,0,9,259947,0.0304,classic
84,0.786,126.755,0.482,rock,-5.735,0.446,0.793,4,0.032,73,4DMKwE2E2iYDKY01C335Uw,Carry on Wayward Son,1976-01-01,8.88e-05,1,7,323000,0.00321,classic
85,0.789,129.802,0.674,rock,-6.903,0.0753,0.918,4,0.0676,78,1FTSo4v6BOZH9QxKc3MbVM,Song 2 - 2012 Remaster,1997-02-10,0.00708,1,8,121160,0.00178,classic
86,0.441,81.334,0.519,rock,-14.178,0.076,0.25,4,0.0353,76,7wCmS9TTVUcIhRalDYFgPy,Where Is My Mind? - 2007 Remaster,1988-03-21,0.000453,1,4,234973,0.0204,classic
87,0.836,113.375,0.743,rock,-6.465,0.384,0.82,4,0.116,80,39shmbIHICJ2Wxnk1fPSdz,Should I Stay or Should I Go - Remastered,1982-01-01,0.0,1,2,188987,0.0804,classic
88,0.528,109.975,0.932,rock,-6.472,0.163,0.757,4,0.161,71,57JVGBtBLCfHw2muk5416J,Another One Bites The Dust - Remastered 2011,1980-06-27,0.329,0,5,214653,0.115,classic
89,0.905,128.019,0.602,rock,-4.046,0.117,0.411,4,0.0775,75,4VqPOruhp5EdPBeR92t6lQ,Uprising,2009-09-10,0.064,1,2,304840,0.000202,classic
90,0.519,98.883,0.653,rock,-10.164,0.101,0.822,4,0.0497,76,1qRA5BS78u3gME0loMl9AA,For What It's Worth,1966-12-05,0.0209,1,2,153693,0.406,classic
91,0.946,138.18,0.454,rock,-5.978,0.173,0.647,4,0.13,68,0upLyFR8Rr52ZpMp5esQoq,You Really Got Me - 2015 Remaster,1978-02-10,0.0,0,1,156147,0.0223,classic
92,0.828,105.435,0.35,rock,-5.373,0.0774,0.147,4,0.041,76,2EoOZnxNgtmZaD8uUmz2nD,Black Hole Sun,1994-03-09,0.000161,1,6,318587,0.000217,classic
93,0.349,124.348,0.489,rock,-14.295,0.0866,0.622,4,0.0323,70,4YMQXzscifAREG0a7KNGhB,Black Magic Woman - Single Version,1994-07-01,0.0789,0,2,196467,0.676,classic
94,0.872,159.925,0.587,rock,-5.066,0.622,0.735,4,0.0484,73,1OxcIUqVmVYxT6427tbhDW,Fly Away,1998-05-12,0.0,1,7,221333,0.018,classic
95,0.808,151.008,0.577,rock,-7.04,0.221,0.869,4,0.039,75,1oYYd2gnWZYrt89EBXdFiO,Message In A Bottle,1979-10-02,1.33e-05,0,1,290280,0.0338,classic
96,0.758,112.113,0.489,rock,-6.491,0.092,0.435,4,0.0297,72,7Jh1bpe76CNTCgdgAdBw4Z,Heroes - 2017 Remaster,1977-01-01,0.49,1,7,371413,0.000678,classic
97,0.932,112.937,0.564,rock,-10.068,0.349,0.619,4,0.0554,75,78lgmZwycJ3nzsdgmPPGNx,Immigrant Song - Remaster,1970-01-01,0.169,1,11,146250,0.013,classic
